speakers,date,start_time,stop_time,transcript
SPEAKER_00,2024-03-28,17:52:19,17:52:22,"Hey, this is Bruce. I'm testing my program."
SPEAKER_01,2024-03-28,17:52:24,17:52:27,"You put it in a teapot it becomes the teapot."
SPEAKER_00,2024-03-28,17:57:07,17:57:11,"Hello, this is Bruce. I'm testing my program. I hope it works."
SPEAKER_01,2024-03-28,17:57:11,17:57:15,"What into a bottle it becomes the bottle you put in your cheaper it becomes"
SPEAKER_00,2024-03-28,17:59:28,17:59:34,"Hello this is Bruce I'm testing my program I hope it walks"
SPEAKER_01,2024-03-28,17:59:34,17:59:38,"How it can crash. Be water, my friend."
SPEAKER_00,2024-03-28,18:59:23,18:59:26,"Hello this is Bruce, I'm testing my speech to a taxo program."
SPEAKER_01,2024-03-28,18:59:30,18:59:31,"Be water, my friend."
SPEAKER_01,2024-03-30,16:14:42,16:14:47,"Hi, this is Bruce. I'm testing my program."
SPEAKER_00,2024-03-30,16:14:47,16:14:57,"I am also testing hello hello can I can you even hear me I will I even be audible actually okay anyways I am testing as well."
